"Old_ID","ID","species","old_species"
"3019233_R_937_DIV_22_5_S77_L001_R1_001.unique.mapped.sorted.bam","R_937_DIV_22_5","Secale cereale","Secale cereale"
"3019234_R_1027_DIV_22_4_S88_L001_R1_001.unique.mapped.sorted.bam","R_1027_DIV_22_4","Secale cereale x vavilovii","Secale cereale x vavilovii"
"3019235_R_34_DIV_22_6_S6_L001_R1_001.unique.mapped.sorted.bam","R_34_DIV_22_6","Secale cereale","Secale cereale"
"3019236_R_93_DIV_22_1_S18_L001_R1_001.unique.mapped.sorted.bam","R_93_DIV_22_1","Secale cereale","Secale cereale"
"3019237_R_191_DIV_22_1_S30_L001_R1_001.unique.mapped.sorted.bam","R_191_DIV_22_1","Secale cereale","Secale cereale"
"3019238_R_233_DIV_22_1_S42_L001_R1_001.unique.mapped.sorted.bam","R_233_DIV_22_1","Secale cereale","Secale cereale"
"3019239_R_242_DIV_22_1_S54_L001_R1_001.unique.mapped.sorted.bam","R_242_DIV_22_1","Secale cereale","Secale cereale"
"3019240_R_612_DIV_22_1_S66_L001_R1_001.unique.mapped.sorted.bam","R_612_DIV_22_1","Secale cereale","Secale cereale"
"3019241_R_937_DIV_22_6_S78_L001_R1_001.unique.mapped.sorted.bam","R_937_DIV_22_6","Secale cereale","Secale cereale"
"3019242_R_1027_DIV_22_5_S89_L001_R1_001.unique.mapped.sorted.bam","R_1027_DIV_22_5","Secale cereale x vavilovii","Secale cereale x vavilovii"
"3019243_R_36_DIV_22_1_S7_L001_R1_001.unique.mapped.sorted.bam","R_36_DIV_22_1","Secale cereale","Secale cereale"
"3019244_R_93_DIV_22_2_S19_L001_R1_001.unique.mapped.sorted.bam","R_93_DIV_22_2","Secale cereale","Secale cereale"
"3019245_R_191_DIV_22_2_S31_L001_R1_001.unique.mapped.sorted.bam","R_191_DIV_22_2","Secale cereale","Secale cereale"
"3019246_R_233_DIV_22_2_S43_L001_R1_001.unique.mapped.sorted.bam","R_233_DIV_22_2","Secale cereale","Secale cereale"
"3019247_R_242_DIV_22_2_S55_L001_R1_001.unique.mapped.sorted.bam","R_242_DIV_22_2","Secale cereale","Secale cereale"
"3019248_R_612_DIV_22_2_S67_L001_R1_001.unique.mapped.sorted.bam","R_612_DIV_22_2","Secale cereale","Secale cereale"
"3019249_R_944_DIV_22_1_S79_L001_R1_001.unique.mapped.sorted.bam","R_944_DIV_22_1","Secale cereale","Secale cereale"
"3019250_R_1027_DIV_22_6_S90_L001_R1_001.unique.mapped.sorted.bam","R_1027_DIV_22_6","Secale cereale x vavilovii","Secale cereale x vavilovii"
"3019251_R_36_DIV_22_2_S8_L001_R1_001.unique.mapped.sorted.bam","R_36_DIV_22_2","Secale cereale","Secale cereale"
"3019252_R_93_DIV_22_3_S20_L001_R1_001.unique.mapped.sorted.bam","R_93_DIV_22_3","Secale cereale","Secale cereale"
"3019253_R_191_DIV_22_3_S32_L001_R1_001.unique.mapped.sorted.bam","R_191_DIV_22_3","Secale cereale","Secale cereale"
"3019254_R_233_DIV_22_3_S44_L001_R1_001.unique.mapped.sorted.bam","R_233_DIV_22_3","Secale cereale","Secale cereale"
"3019255_R_242_DIV_22_3_S56_L001_R1_001.unique.mapped.sorted.bam","R_242_DIV_22_3","Secale cereale","Secale cereale"
"3019256_R_612_DIV_22_3_S68_L001_R1_001.unique.mapped.sorted.bam","R_612_DIV_22_3","Secale cereale","Secale cereale"
"3019257_R_944_DIV_22_2_S80_L001_R1_001.unique.mapped.sorted.bam","R_944_DIV_22_2","Secale cereale","Secale cereale"
"3019258_R_1038_DIV_22_1_S91_L001_R1_001.unique.mapped.sorted.bam","R_1038_DIV_22_1","Secale cereale","Secale cereale"
"3019259_R_36_DIV_22_3_S9_L001_R1_001.unique.mapped.sorted.bam","R_36_DIV_22_3","Secale cereale","Secale cereale"
"3019260_R_93_DIV_22_4_S21_L001_R1_001.unique.mapped.sorted.bam","R_93_DIV_22_4","Secale cereale","Secale cereale"
"3019261_R_191_DIV_22_4_S33_L001_R1_001.unique.mapped.sorted.bam","R_191_DIV_22_4","Secale cereale","Secale cereale"
"3019262_R_233_DIV_22_4_S45_L001_R1_001.unique.mapped.sorted.bam","R_233_DIV_22_4","Secale cereale","Secale cereale"
"3019263_R_242_DIV_22_4_S57_L001_R1_001.unique.mapped.sorted.bam","R_242_DIV_22_4","Secale cereale","Secale cereale"
"3019264_R_612_DIV_22_4_S69_L001_R1_001.unique.mapped.sorted.bam","R_612_DIV_22_4","Secale cereale","Secale cereale"
"3019265_R_944_DIV_22_3_S81_L001_R1_001.unique.mapped.sorted.bam","R_944_DIV_22_3","Secale cereale","Secale cereale"
"3019266_R_1038_DIV_22_2_S92_L001_R1_001.unique.mapped.sorted.bam","R_1038_DIV_22_2","Secale cereale","Secale cereale"
"3019267_R_36_DIV_22_5_S10_L001_R1_001.unique.mapped.sorted.bam","R_36_DIV_22_5","Secale cereale","Secale cereale"
"3019268_R_93_DIV_22_5_S22_L001_R1_001.unique.mapped.sorted.bam","R_93_DIV_22_5","Secale cereale","Secale cereale"
"3019269_R_191_DIV_22_5_S34_L001_R1_001.unique.mapped.sorted.bam","R_191_DIV_22_5","Secale cereale","Secale cereale"
"3019270_R_233_DIV_22_5_S46_L001_R1_001.unique.mapped.sorted.bam","R_233_DIV_22_5","Secale cereale","Secale cereale"
"3019271_R_242_DIV_22_5_S58_L001_R1_001.unique.mapped.sorted.bam","R_242_DIV_22_5","Secale cereale","Secale cereale"
"3019272_R_612_DIV_22_5_S70_L001_R1_001.unique.mapped.sorted.bam","R_612_DIV_22_5","Secale cereale","Secale cereale"
"3019273_R_944_DIV_22_4_S82_L001_R1_001.unique.mapped.sorted.bam","R_944_DIV_22_4","Secale cereale","Secale cereale"
"3019274_R_1038_DIV_22_3_S93_L001_R1_001.unique.mapped.sorted.bam","R_1038_DIV_22_3","Secale cereale","Secale cereale"
"3019275_R_36_DIV_22_6_S11_L001_R1_001.unique.mapped.sorted.bam","R_36_DIV_22_6","Secale cereale","Secale cereale"
"3019276_R_93_DIV_22_6_S23_L001_R1_001.unique.mapped.sorted.bam","R_93_DIV_22_6","Secale cereale","Secale cereale"
"3019277_R_191_DIV_22_6_S35_L001_R1_001.unique.mapped.sorted.bam","R_191_DIV_22_6","Secale cereale","Secale cereale"
"3019278_R_233_DIV_22_6_S47_L001_R1_001.unique.mapped.sorted.bam","R_233_DIV_22_6","Secale cereale","Secale cereale"
"3019279_R_242_DIV_22_6_S59_L001_R1_001.unique.mapped.sorted.bam","R_242_DIV_22_6","Secale cereale","Secale cereale"
