"Old_ID","ID","species","old_species"
"3078460_NF_22_B_129_S124_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_129_S124_L001_R1_001","Secale cereale","Conduct"
"3078461_NF_22_B_141_S136_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_141_S136_L001_R1_001","Secale cereale","Conduct"
"3078462_NF_22_B_153_S148_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_153_S148_L001_R1_001","Secale cereale","Conduct"
"3078463_NF_22_B_165_S160_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_165_S160_L001_R1_001","Secale cereale","Conduct"
"3078464_NF_22_A_177_S171_L001_R1_001.unique.mapped.sorted.bam","NF_22_A_177_S171_L001_R1_001","Secale cereale","Conduct"
"3078465_NF_22_B_189_S182_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_189_S182_L001_R1_001","Secale cereale","Conduct"
"3078466_NF_22_B_106_S101_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_106_S101_L001_R1_001","Secale cereale","Conduct"
"3078467_NF_22_B_118_S113_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_118_S113_L001_R1_001","Secale cereale","Conduct"
"3078468_NF_22_B_130_S125_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_130_S125_L001_R1_001","Secale cereale","Conduct"
"3078469_NF_22_B_142_S137_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_142_S137_L001_R1_001","Secale cereale","Conduct"
"3078470_NF_22_B_154_S149_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_154_S149_L001_R1_001","Secale cereale","Conduct"
"3078471_NF_22_B_166_S161_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_166_S161_L001_R1_001","Secale cereale","Conduct"
"3078472_NF_22_B_178_S172_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_178_S172_L001_R1_001","Secale cereale","Conduct"
"3078473_NF_22_B_190_S183_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_190_S183_L001_R1_001","Secale cereale","Conduct"
"3078474_NF_22_B_107_S102_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_107_S102_L001_R1_001","Secale cereale","Conduct"
"3078475_NF_22_B_119_S114_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_119_S114_L001_R1_001","Secale cereale","Conduct"
"3078476_NF_22_B_131_S126_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_131_S126_L001_R1_001","Secale cereale","Conduct"
"3078477_NF_22_B_143_S138_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_143_S138_L001_R1_001","Secale cereale","Conduct"
"3078478_NF_22_B_155_S150_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_155_S150_L001_R1_001","Secale cereale","Conduct"
"3078479_NF_22_B_167_S162_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_167_S162_L001_R1_001","Secale cereale","Conduct"
"3078480_NF_22_B_179_S173_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_179_S173_L001_R1_001","Secale cereale","Conduct"
"3078481_NF_22_B_191_S184_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_191_S184_L001_R1_001","Secale cereale","Conduct"
"3078482_NF_22_B_108_S103_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_108_S103_L001_R1_001","Secale cereale","Conduct"
"3078483_NF_22_B_120_S115_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_120_S115_L001_R1_001","Secale cereale","Conduct"
"3078484_NF_22_B_132_S127_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_132_S127_L001_R1_001","Secale cereale","Conduct"
"3078485_NF_22_B_144_S139_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_144_S139_L001_R1_001","Secale cereale","Conduct"
"3078486_NF_22_B_156_S151_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_156_S151_L001_R1_001","Secale cereale","Conduct"
"3078490_NF_22_A_193_S185_L001_R1_001.unique.mapped.sorted.bam","NF_22_A_193_S185_L001_R1_001","Secale cereale","Conduct"
"3078491_NF_22_B_207_S197_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_207_S197_L001_R1_001","Secale cereale","Conduct"
"3078492_NF_22_B_219_S209_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_219_S209_L001_R1_001","Secale cereale","Conduct"
"3078493_NF_22_B_231_S221_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_231_S221_L001_R1_001","Secale cereale","Conduct"
"3078494_NF_22_B_243_S232_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_243_S232_L001_R1_001","Secale cereale","Conduct"
"3078495_NF_22_B_255_S244_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_255_S244_L001_R1_001","Secale cereale","Conduct"
"3078496_NF_22_B_267_S255_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_267_S255_L001_R1_001","Secale cereale","Conduct"
"3078497_NF_22_B_279_S266_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_279_S266_L001_R1_001","Secale cereale","Conduct"
"3078498_NF_22_B_194_S186_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_194_S186_L001_R1_001","Secale cereale","Conduct"
"3078499_NF_22_B_208_S198_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_208_S198_L001_R1_001","Secale cereale","Conduct"
"3078500_NF_22_B_220_S210_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_220_S210_L001_R1_001","Secale cereale","Conduct"
"3078501_NF_22_B_232_S222_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_232_S222_L001_R1_001","Secale cereale","Conduct"
"3078502_NF_22_B_244_S233_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_244_S233_L001_R1_001","Secale cereale","Conduct"
"3078503_NF_22_B_256_S245_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_256_S245_L001_R1_001","Secale cereale","Conduct"
"3078504_NF_22_B_268_S256_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_268_S256_L001_R1_001","Secale cereale","Conduct"
"3078505_NF_22_B_280_S267_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_280_S267_L001_R1_001","Secale cereale","Conduct"
"3078506_NF_22_A_196_S187_L001_R1_001.unique.mapped.sorted.bam","NF_22_A_196_S187_L001_R1_001","Secale cereale","Conduct"
"3078507_NF_22_B_209_S199_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_209_S199_L001_R1_001","Secale cereale","Conduct"
"3078508_NF_22_B_221_S211_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_221_S211_L001_R1_001","Secale cereale","Conduct"
"3078509_NF_22_B_233_S223_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_233_S223_L001_R1_001","Secale cereale","Conduct"
"3078510_NF_22_B_245_S234_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_245_S234_L001_R1_001","Secale cereale","Conduct"
"3078511_NF_22_B_257_S246_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_257_S246_L001_R1_001","Secale cereale","Conduct"
"3078512_NF_22_B_269_S257_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_269_S257_L001_R1_001","Secale cereale","Conduct"
"3078513_NF_22_B_281_S268_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_281_S268_L001_R1_001","Secale cereale","Conduct"
"3078514_NF_22_A_197_S188_L001_R1_001.unique.mapped.sorted.bam","NF_22_A_197_S188_L001_R1_001","Secale cereale","Conduct"
"3078515_NF_22_B_210_S200_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_210_S200_L001_R1_001","Secale cereale","Conduct"
"3078516_NF_22_B_222_S212_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_222_S212_L001_R1_001","Secale cereale","Conduct"
"3078517_NF_22_B_234_S224_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_234_S224_L001_R1_001","Secale cereale","Conduct"
"3078518_NF_22_B_246_S235_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_246_S235_L001_R1_001","Secale cereale","Conduct"
"3078519_NF_22_B_258_S247_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_258_S247_L001_R1_001","Secale cereale","Conduct"
"3078520_NF_22_B_270_S258_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_270_S258_L001_R1_001","Secale cereale","Conduct"
"3078521_NF_22_B_282_S269_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_282_S269_L001_R1_001","Secale cereale","Conduct"
"3078522_NF_22_B_198_S189_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_198_S189_L001_R1_001","Secale cereale","Conduct"
"3078523_NF_22_B_211_S201_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_211_S201_L001_R1_001","Secale cereale","Conduct"
"3078524_NF_22_B_223_S213_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_223_S213_L001_R1_001","Secale cereale","Conduct"
"3078525_NF_22_B_235_S225_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_235_S225_L001_R1_001","Secale cereale","Conduct"
"3078526_NF_22_B_247_S236_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_247_S236_L001_R1_001","Secale cereale","Conduct"
"3078527_NF_22_B_259_S248_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_259_S248_L001_R1_001","Secale cereale","Conduct"
"3078528_NF_22_B_271_S259_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_271_S259_L001_R1_001","Secale cereale","Conduct"
"3078529_NF_22_B_283_S270_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_283_S270_L001_R1_001","Secale cereale","Conduct"
"3078530_NF_22_B_199_S190_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_199_S190_L001_R1_001","Secale cereale","Conduct"
"3078531_NF_22_B_212_S202_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_212_S202_L001_R1_001","Secale cereale","Conduct"
"3078532_NF_22_B_224_S214_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_224_S214_L001_R1_001","Secale cereale","Conduct"
"3078534_NF_22_B_248_S237_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_248_S237_L001_R1_001","Secale cereale","Conduct"
"3078535_NF_22_B_260_S249_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_260_S249_L001_R1_001","Secale cereale","Conduct"
"3078536_NF_22_B_272_S260_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_272_S260_L001_R1_001","Secale cereale","Conduct"
"3078537_NF_22_B_284_S271_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_284_S271_L001_R1_001","Secale cereale","Conduct"
"3078538_NF_22_A_200_S191_L001_R1_001.unique.mapped.sorted.bam","NF_22_A_200_S191_L001_R1_001","Secale cereale","Conduct"
"3078539_NF_22_B_213_S203_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_213_S203_L001_R1_001","Secale cereale","Conduct"
"3078540_NF_22_B_225_S215_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_225_S215_L001_R1_001","Secale cereale","Conduct"
"3078541_NF_22_B_237_S226_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_237_S226_L001_R1_001","Secale cereale","Conduct"
"3078542_NF_22_B_249_S238_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_249_S238_L001_R1_001","Secale cereale","Conduct"
"3078543_NF_22_B_261_S250_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_261_S250_L001_R1_001","Secale cereale","Conduct"
"3078544_NF_22_B_273_S261_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_273_S261_L001_R1_001","Secale cereale","Conduct"
"3078545_NF_22_B_285_S272_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_285_S272_L001_R1_001","Secale cereale","Conduct"
"3078546_NF_22_A_202_S192_L001_R1_001.unique.mapped.sorted.bam","NF_22_A_202_S192_L001_R1_001","Secale cereale","Conduct"
"3078547_NF_22_B_214_S204_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_214_S204_L001_R1_001","Secale cereale","Conduct"
"3078548_NF_22_B_226_S216_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_226_S216_L001_R1_001","Secale cereale","Conduct"
"3078549_NF_22_B_238_S227_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_238_S227_L001_R1_001","Secale cereale","Conduct"
"3078550_NF_22_B_250_S239_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_250_S239_L001_R1_001","Secale cereale","Conduct"
"3078551_NF_22_B_262_S251_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_262_S251_L001_R1_001","Secale cereale","Conduct"
"3078552_NF_22_B_274_S262_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_274_S262_L001_R1_001","Secale cereale","Conduct"
"3078553_NF_22_B_286_S273_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_286_S273_L001_R1_001","Secale cereale","Conduct"
"3078554_NF_22_B_203_S193_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_203_S193_L001_R1_001","Secale cereale","Conduct"
"3078555_NF_22_B_215_S205_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_215_S205_L001_R1_001","Secale cereale","Conduct"
"3078556_NF_22_B_227_S217_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_227_S217_L001_R1_001","Secale cereale","Conduct"
"3078557_NF_22_B_239_S228_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_239_S228_L001_R1_001","Secale cereale","Conduct"
"3078558_NF_22_B_251_S240_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_251_S240_L001_R1_001","Secale cereale","Conduct"
"3078559_NF_22_B_263_S252_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_263_S252_L001_R1_001","Secale cereale","Conduct"
"3078560_NF_22_B_275_S263_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_275_S263_L001_R1_001","Secale cereale","Conduct"
"3078561_NF_22_B_287_S274_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_287_S274_L001_R1_001","Secale cereale","Conduct"
"3078562_NF_22_B_204_S194_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_204_S194_L001_R1_001","Secale cereale","Conduct"
"3078563_NF_22_B_216_S206_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_216_S206_L001_R1_001","Secale cereale","Conduct"
"3078564_NF_22_B_228_S218_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_228_S218_L001_R1_001","Secale cereale","Conduct"
"3078565_NF_22_A_240_S229_L001_R1_001.unique.mapped.sorted.bam","NF_22_A_240_S229_L001_R1_001","Secale cereale","Conduct"
"3078566_NF_22_B_252_S241_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_252_S241_L001_R1_001","Secale cereale","Conduct"
"3078567_NF_22_B_264_S253_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_264_S253_L001_R1_001","Secale cereale","Conduct"
"3078568_NF_22_B_276_S264_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_276_S264_L001_R1_001","Secale cereale","Conduct"
"3078569_NF_22_B_288_S275_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_288_S275_L001_R1_001","Secale cereale","Conduct"
"3078570_NF_22_B_205_S195_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_205_S195_L001_R1_001","Secale cereale","Conduct"
"3078571_NF_22_B_217_S207_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_217_S207_L001_R1_001","Secale cereale","Conduct"
"3078572_NF_22_B_229_S219_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_229_S219_L001_R1_001","Secale cereale","Conduct"
"3078573_NF_22_B_241_S230_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_241_S230_L001_R1_001","Secale cereale","Conduct"
"3078574_NF_22_B_253_S242_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_253_S242_L001_R1_001","Secale cereale","Conduct"
"3078575_NF_22_B_265_S254_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_265_S254_L001_R1_001","Secale cereale","Conduct"
"3078576_NF_22_B_277_S265_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_277_S265_L001_R1_001","Secale cereale","Conduct"
"3078577_NF_22_B_278_S276_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_278_S276_L001_R1_001","Secale cereale","Conduct"
"3078578_NF_22_B_206_S196_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_206_S196_L001_R1_001","Secale cereale","Conduct"
"3078579_NF_22_B_218_S208_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_218_S208_L001_R1_001","Secale cereale","Conduct"
"3078580_NF_22_B_230_S220_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_230_S220_L001_R1_001","Secale cereale","Conduct"
"3078581_NF_22_B_242_S231_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_242_S231_L001_R1_001","Secale cereale","Conduct"
"3078582_NF_22_B_254_S243_L001_R1_001.unique.mapped.sorted.bam","NF_22_B_254_S243_L001_R1_001","Secale cereale","Conduct"
"3234905_NF_EG_23_1_S1_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_1_S1_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234906_NF_EG_23_14_S13_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_14_S13_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234907_NF_EG_23_27_S25_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_27_S25_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234908_NF_EG_23_39_S37_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_39_S37_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234909_NF_EG_23_53_S48_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_53_S48_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234910_NF_EG_23_77_S60_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_77_S60_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234911_NF_EG_23_93_S72_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_93_S72_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234912_NF_EG_23_105_S83_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_105_S83_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234913_NF_EG_23_2_S2_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_2_S2_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234914_NF_EG_23_15_S14_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_15_S14_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234915_NF_EG_23_28_S26_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_28_S26_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234916_NF_EG_23_40_S38_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_40_S38_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234917_NF_EG_23_56_S49_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_56_S49_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234918_NF_EG_23_78_S61_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_78_S61_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234919_NF_EG_23_94_S73_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_94_S73_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234920_NF_EG_23_106_S84_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_106_S84_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234921_NF_EG_23_3_S3_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_3_S3_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234922_NF_EG_23_16_S15_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_16_S15_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234923_NF_EG_23_29_S27_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_29_S27_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234924_NF_EG_23_41_S39_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_41_S39_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234925_NF_EG_23_58_S50_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_58_S50_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234926_NF_EG_23_79_S62_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_79_S62_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234927_NF_EG_23_95_S74_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_95_S74_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234928_NF_EG_23_107_S85_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_107_S85_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234929_NF_EG_23_4_S4_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_4_S4_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234930_NF_EG_23_17_S16_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_17_S16_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234931_NF_EG_23_30_S28_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_30_S28_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234932_NF_EG_23_43_S40_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_43_S40_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234933_NF_EG_23_59_S51_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_59_S51_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234934_NF_EG_23_82_S63_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_82_S63_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234935_NF_EG_23_96_S75_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_96_S75_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234936_NF_EG_23_108_S86_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_108_S86_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234937_NF_EG_23_5_S5_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_5_S5_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234938_NF_EG_23_18_S17_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_18_S17_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234939_NF_EG_23_31_S29_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_31_S29_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234940_NF_EG_23_44_S41_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_44_S41_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234941_NF_EG_23_60_S52_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_60_S52_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234942_NF_EG_23_83_S64_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_83_S64_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234943_NF_EG_23_97_S76_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_97_S76_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234944_NF_EG_23_109_S87_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_109_S87_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234945_NF_EG_23_6_S6_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_6_S6_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234946_NF_EG_23_19_S18_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_19_S18_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234947_NF_EG_23_32_S30_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_32_S30_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234948_NF_EG_23_45_S42_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_45_S42_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234949_NF_EG_23_62_S53_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_62_S53_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234950_NF_EG_23_84_S65_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_84_S65_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234951_NF_EG_23_98_S77_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_98_S77_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234952_NF_EG_23_110_S88_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_110_S88_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234953_NF_EG_23_7_S7_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_7_S7_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234954_NF_EG_23_20_S19_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_20_S19_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234955_NF_EG_23_33_S31_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_33_S31_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234957_NF_EG_23_64_S54_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_64_S54_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234958_NF_EG_23_85_S66_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_85_S66_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234959_NF_EG_23_99_S78_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_99_S78_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234960_NF_EG_23_111_S89_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_111_S89_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234961_NF_EG_23_8_S8_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_8_S8_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234962_NF_EG_23_22_S20_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_22_S20_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234963_NF_EG_23_34_S32_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_34_S32_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234964_NF_EG_23_47_S43_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_47_S43_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234965_NF_EG_23_66_S55_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_66_S55_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234966_NF_EG_23_86_S67_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_86_S67_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234967_NF_EG_23_100_S79_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_100_S79_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234968_NF_EG_23_112_S90_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_112_S90_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234969_NF_EG_23_9_S9_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_9_S9_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234970_NF_EG_23_23_S21_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_23_S21_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234971_NF_EG_23_35_S33_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_35_S33_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234972_NF_EG_23_48_S44_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_48_S44_L001_R1_001","Secale cereale","Diversity Panel 23"
"3234973_NF_EG_23_70_S56_L001_R1_001.unique.mapped.sorted.bam","NF_EG_23_70_S56_L001_R1_001","Secale cereale","Diversity Panel 23"
